,Exidelw,Exideuw,Call
0,222.78809523809517,226.98382352941172,Sell
1,222.5714285714285,226.32794117647055,Sell
2,222.5261904761904,225.78529411764703,Sell
3,222.56904761904758,225.34705882352938,Sell
4,222.78333333333327,225.0117647058823,Sell
5,223.08809523809518,224.7705882352941,Sell
6,223.32857142857137,224.72794117647055,Sell
7,223.38333333333327,224.64264705882348,Sell
8,223.48095238095232,224.76617647058822,Sell
9,223.41904761904757,224.7235294117647,Sell
10,223.26428571428568,224.4132352941176,Sell
11,223.29047619047617,224.20882352941175,Sell
12,223.2547619047619,224.02794117647056,Sell
13,222.87619047619046,223.67499999999995,Sell
14,222.5380952380952,223.38382352941173,Sell
15,222.12857142857138,223.07352941176464,Sell
16,221.94999999999996,222.7176470588235,Sell
17,221.96428571428567,222.50441176470585,Sell
18,222.1785714285714,222.3191176470588,Sell
19,222.08809523809518,222.04264705882346,Buy
20,222.01428571428565,221.84999999999994,Buy
21,221.87142857142848,221.64999999999992,Buy
22,221.88571428571422,221.5367647058823,Buy
23,221.6809523809523,221.41617647058817,Buy
24,221.38809523809513,221.45147058823522,Sell
25,220.7857142857142,221.27058823529407,Sell
26,220.10714285714278,220.9617647058823,Sell
27,219.38809523809513,220.63823529411758,Sell
28,218.58095238095228,220.1073529411764,Sell
29,217.32380952380942,219.54558823529405,Sell
30,216.21190476190463,219.15147058823524,Sell
31,215.50476190476175,219.010294117647,Sell
32,214.8119047619046,218.72058823529403,Sell
33,214.43571428571414,218.5823529411764,Sell
34,213.992857142857,218.24264705882345,Sell
35,213.192857142857,217.59117647058815,Sell
36,212.2642857142856,216.735294117647,Sell
37,211.48095238095226,215.86911764705874,Sell
38,210.80714285714276,215.1073529411764,Sell
39,209.98809523809516,214.22794117647052,Sell
40,209.0666666666666,213.2338235294117,Sell
41,208.1119047619047,212.41764705882346,Sell
42,207.12857142857138,211.54999999999995,Sell
43,206.19761904761899,210.89999999999992,Sell
44,205.32142857142853,210.3338235294117,Sell
45,204.48571428571427,209.8367647058823,Sell
46,204.1047619047619,209.44264705882347,Sell
47,203.71904761904764,209.12941176470585,Sell
48,203.97619047619048,209.17352941176466,Sell
49,204.66666666666666,209.32205882352937,Sell
50,205.90952380952382,209.6382352941176,Sell
51,206.6166666666667,209.6720588235294,Sell
52,207.2119047619048,209.76617647058822,Sell
53,207.73333333333335,209.85441176470587,Sell
54,208.26428571428573,210.08970588235292,Sell
55,209.06190476190477,210.33088235294116,Sell
56,210.05,210.28088235294115,Sell
57,211.02380952380958,210.1529411764706,Buy
58,211.52857142857144,209.77941176470588,Buy
59,211.80714285714285,209.56176470588233,Buy
60,212.07142857142858,209.26470588235293,Buy
61,212.4309523809524,208.93676470588235,Buy
62,212.75238095238097,208.81764705882352,Buy
63,213.18571428571425,208.99411764705883,Buy
64,213.34047619047618,209.1264705882353,Buy
65,213.44761904761904,209.06323529411767,Buy
66,213.4261904761904,208.9808823529412,Buy
67,213.31428571428563,208.75,Buy
68,213.11428571428561,208.58676470588236,Buy
69,212.58095238095228,208.7955882352941,Buy
70,211.71666666666658,208.98382352941175,Buy
71,210.76428571428565,209.1955882352941,Buy
72,210.1499999999999,209.26617647058822,Buy
73,209.4095238095237,209.40882352941173,Buy
74,208.96666666666658,209.7926470588235,Sell
75,208.21666666666658,210.15441176470586,Sell
76,207.33809523809518,210.460294117647,Sell
77,206.57380952380944,210.5132352941176,Sell
78,206.08333333333326,210.62352941176468,Sell
79,206.06190476190469,210.75294117647056,Sell
80,205.98571428571424,210.72352941176467,Sell
81,205.86666666666662,210.59117647058818,Sell
82,205.93571428571423,210.1470588235294,Sell
83,206.2023809523809,209.76617647058822,Sell
84,206.48571428571424,209.34999999999997,Sell
85,206.54523809523803,209.08235294117642,Sell
86,206.49999999999994,208.62352941176468,Sell
87,206.44761904761904,208.18676470588233,Sell
88,206.23333333333332,207.4955882352941,Sell
89,205.98333333333332,206.68529411764703,Sell
90,205.6904761904762,206.10294117647055,Sell
91,205.56190476190477,205.61029411764704,Sell
92,205.3452380952381,205.37647058823526,Sell
93,205.0857142857143,205.11470588235292,Sell
94,204.6619047619048,204.83235294117645,Sell
95,204.1404761904762,204.67205882352937,Sell
96,203.77142857142857,204.60735294117643,Sell
97,203.48571428571427,204.4691176470588,Sell
98,203.3547619047619,204.3455882352941,Sell
99,203.13095238095238,204.25147058823526,Sell
100,202.95,204.28235294117644,Sell
101,202.9404761904762,204.31617647058823,Sell
102,203.0952380952381,204.40294117647062,Sell
103,203.22857142857143,204.37058823529415,Sell
104,203.12380952380954,204.4588235294118,Sell
105,202.7976190476191,204.42941176470592,Sell
106,202.6119047619048,204.42647058823536,Sell
107,202.56190476190483,204.3941176470589,Sell
108,202.53809523809528,204.2161764705883,Sell
109,202.60952380952386,204.03235294117653,Sell
110,202.7928571428572,203.87794117647064,Sell
111,202.98809523809527,203.8882352941177,Sell
112,203.1761904761905,203.814705882353,Sell
113,203.31190476190483,203.67794117647065,Sell
114,203.55238095238101,203.61176470588242,Sell
115,203.94047619047623,203.64264705882357,Buy
116,204.28095238095244,203.65000000000003,Buy
117,204.59761904761913,203.61617647058827,Buy
118,205.21904761904773,203.6867647058824,Buy
119,205.77857142857152,203.87205882352947,Buy
120,206.6642857142858,204.35294117647064,Buy
121,207.38333333333344,204.8602941176471,Buy
122,208.05476190476196,205.4411764705883,Buy
123,208.6571428571429,206.05441176470595,Buy
124,209.2119047619048,206.5455882352942,Buy
125,210.01190476190482,207.20735294117654,Buy
126,210.7119047619048,207.74411764705889,Buy
127,211.51428571428573,208.39705882352948,Buy
128,212.44523809523812,209.20147058823537,Buy
129,213.37619047619052,209.9205882352942,Buy
130,214.55000000000004,210.68970588235305,Buy
131,215.67857142857147,211.40882352941185,Buy
132,216.5690476190477,212.0500000000001,Buy
133,217.45476190476197,212.66176470588243,Buy
134,218.38095238095244,213.20882352941186,Buy
135,219.3166666666667,213.72647058823537,Buy
136,220.64761904761912,214.48382352941184,Buy
137,221.76666666666674,215.10000000000008,Buy
138,222.6666666666667,215.6867647058824,Buy
139,223.04523809523812,216.19264705882358,Buy
140,223.33809523809526,216.67352941176475,Buy
141,223.452380952381,217.25588235294123,Buy
142,223.55714285714288,217.84264705882356,Buy
143,224.12619047619052,218.73088235294122,Buy
144,224.51190476190482,219.46911764705888,Buy
145,224.79523809523812,220.01470588235298,Buy
146,224.8952380952381,220.62205882352944,Buy
147,225.0666666666667,221.1808823529412,Buy
148,224.97380952380956,221.6279411764706,Buy
149,224.42142857142858,221.85147058823534,Buy
150,223.60000000000002,221.85294117647064,Buy
151,222.46904761904764,221.72794117647064,Buy
152,221.44523809523812,221.4308823529412,Buy
153,220.71904761904764,221.27794117647065,Sell
154,219.99761904761908,220.89705882352948,Sell
155,219.48571428571432,220.68382352941182,Sell
156,218.92857142857147,220.44264705882358,Sell
157,218.08095238095243,220.30441176470595,Sell
158,217.27857142857144,220.08235294117654,Sell
159,216.48333333333335,219.68382352941182,Sell
160,215.94523809523812,219.42500000000004,Sell
161,215.45952380952383,219.1102941176471,Sell
162,214.65714285714287,218.62205882352944,Sell
163,214.06428571428575,218.26764705882357,Sell
